,workload_info.name,composition,workload_profit,request_info.utility.name,allocation,workload_mode,budget.mode,budget.ModeConfig.Unlocking.slack,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,round,profit_accepted_fraction_perround_mean,profit_accepted_fraction_perround_std,n_requests_accepted_fraction_perround_mean,n_requests_accepted_fraction_perround_std,profit_accepted_fraction_cum_mean,profit_accepted_fraction_cum_std,n_requests_accepted_fraction_cum_mean,n_requests_accepted_fraction_cum_std,allocation_status_<lambda>
30,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,41,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
31,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,42,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
32,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,43,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
33,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,44,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
34,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,45,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
35,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,46,0.0,0.0,0.0,0.0,0.06729032015145389,0.0024866310939485503,0.06729032015145389,0.0024866310939485503,"{""{'Optimal': 24}"": 5}"
36,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,47,0.6372879451313239,0.027102373946780906,0.6372879451313239,0.027102373946780906,0.08388635293455435,0.0025688594384040754,0.08388635293455435,0.0025688594384040754,"{""{'Optimal': 24}"": 5}"
37,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,48,0.33294761187752414,0.02305692088405918,0.33294761187752414,0.02305692088405918,0.09210059405255293,0.003068468244142315,0.09210059405255293,0.003068468244142315,"{""{'Optimal': 24}"": 5}"
38,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,49,0.05436239128721402,0.01318933666533756,0.05436239128721402,0.01318933666533756,0.0934469849885047,0.0030070071375935497,0.0934469849885047,0.0030070071375935497,"{""{'Optimal': 24}"": 5}"
39,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Fix,-,basic:GM-LM-RR-LSVT,sub25100,nopa,50,0.0003838771593090211,0.0008583754232244874,0.0003838771593090211,0.0008583754232244874,0.09345685081328767,0.0030070157802282492,0.09345685081328767,0.0030070157802282492,"{""{'Optimal': 24}"": 5}"
40,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,11,0.39715049498479355,0.014234322904303215,0.39715049498479355,0.014234322904303215,0.009718918443579489,0.0005035296239413961,0.009718918443579489,0.0005035296239413961,"{""{'Optimal': 24}"": 5}"
41,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,12,0.4007202356493506,0.016783100652022893,0.4007202356493506,0.016783100652022893,0.019864412784106673,0.0005846032586849836,0.019864412784106673,0.0005846032586849836,"{""{'Optimal': 24}"": 5}"
42,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,13,0.4022834077069934,0.017109150072356947,0.4022834077069934,0.017109150072356947,0.02996168341384072,0.0006366871192240778,0.02996168341384072,0.0006366871192240778,"{""{'Optimal': 24}"": 5}"
43,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,14,0.4103346616726907,0.017556899374977106,0.4103346616726907,0.017556899374977106,0.04022696434186268,0.0013284276207258792,0.04022696434186268,0.0013284276207258792,"{""{'Optimal': 24}"": 5}"
44,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,15,0.40091180954871286,0.022785841097718657,0.40091180954871286,0.022785841097718657,0.05035133690675173,0.0016036842951802441,0.05035133690675173,0.0016036842951802441,"{""{'Optimal': 24}"": 5}"
45,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,16,0.40919310741085974,0.023966653110518092,0.40919310741085974,0.023966653110518092,0.060382089993566535,0.0016411186498975273,0.060382089993566535,0.0016411186498975273,"{""{'Optimal': 24}"": 5}"
46,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,17,0.3905966819010678,0.0164264890716742,0.3905966819010678,0.0164264890716742,0.07037947562972387,0.0014229575549144257,0.07037947562972387,0.0014229575549144257,"{""{'Optimal': 24}"": 5}"
47,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,18,0.41041495934160166,0.02511485979095456,0.41041495934160166,0.02511485979095456,0.08076982596630403,0.00043426469660799065,0.08076982596630403,0.00043426469660799065,"{""{'Optimal': 24}"": 5}"
48,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,19,0.40198153081990007,0.018567979757897615,0.40198153081990007,0.018567979757897615,0.09122519562319494,0.0011627612632163031,0.09122519562319494,0.0011627612632163031,"{""{'Optimal': 24}"": 5}"
49,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,20,0.3974127332292618,0.019858326425349255,0.3974127332292618,0.019858326425349255,0.1010832482093004,0.0009090439518850402,0.1010832482093004,0.0009090439518850402,"{""{'Optimal': 24}"": 5}"
50,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,21,0.4065507436516934,0.018368079428711232,0.4065507436516934,0.018368079428711232,0.11116856688744245,0.0008273551336337014,0.11116856688744245,0.0008273551336337014,"{""{'Optimal': 24}"": 5}"
51,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,22,0.3995009379406143,0.015401389136443913,0.3995009379406143,0.015401389136443913,0.12097791789193069,0.0009544105597893142,0.12097791789193069,0.0009544105597893142,"{""{'Optimal': 24}"": 5}"
