,suite_name,suite_id,exp_name,run,workload_info.name,workload.rep,allocation,composition,workload_mode,workload_profit,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,budget.mode,budget.ModeConfig.Unlocking.slack,request_info.mechanism.name,allocation_status_all,profit_elephant_all,profit_hare_all,profit_mice_all,profit_elephant_accepted,profit_hare_accepted,profit_mice_accepted,profit_elephant_rejected,profit_hare_rejected,profit_mice_rejected,n_requests_elephant_all,n_requests_hare_all,n_requests_mice_all,n_requests_elephant_accepted,n_requests_hare_accepted,n_requests_mice_accepted,n_requests_elephant_rejected,n_requests_hare_rejected,n_requests_mice_rejected
25,sp_sub,1690826136,wl_big_mem,45,gm:GM-sub45-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 33, 'TimeLimit': 7}",6664,6791,6726,4,867,6726,6660,5924,0,6664,6791,6726,4,867,6726,6660,5924,0
26,sp_sub,1690826136,wl_big_mem,46,gm:GM-sub65-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.2,GaussianMechanism,{'Optimal': 40},6706,6801,6837,0,469,6837,6706,6332,0,6706,6801,6837,0,469,6837,6706,6332,0
27,sp_sub,1690826136,wl_big_mem,47,gm:GM-sub65-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6706,6801,6837,0,483,6837,6706,6318,0,6706,6801,6837,0,483,6837,6706,6318,0
28,sp_sub,1690826136,wl_big_mem,48,gm:GM-sub85-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 34, 'TimeLimit': 6}",6772,6759,6601,0,240,6601,6772,6519,0,6772,6759,6601,0,240,6601,6772,6519,0
29,sp_sub,1690826136,wl_big_mem,49,gm:GM-sub85-defpa,2,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 32, 'TimeLimit': 8}",6772,6759,6601,0,250,6601,6772,6509,0,6772,6759,6601,0,250,6601,6772,6509,0
30,sp_sub,1690826136,wl_big_mem,60,gm:GM-sub5-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",6620,6654,6770,439,6654,6770,6181,0,0,6620,6654,6770,439,6654,6770,6181,0,0
31,sp_sub,1690826136,wl_big_mem,61,gm:GM-sub5-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",6620,6654,6770,452,6654,6770,6168,0,0,6620,6654,6770,452,6654,6770,6168,0,0
32,sp_sub,1690826136,wl_big_mem,62,gm:GM-sub25-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6880,6748,6620,13,1846,6620,6867,4902,0,6880,6748,6620,13,1846,6620,6867,4902,0
33,sp_sub,1690826136,wl_big_mem,63,gm:GM-sub25-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",6880,6748,6620,16,1841,6620,6864,4907,0,6880,6748,6620,16,1841,6620,6864,4907,0
34,sp_sub,1690826136,wl_big_mem,64,gm:GM-sub45-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6736,6831,6635,1,894,6635,6735,5937,0,6736,6831,6635,1,894,6635,6735,5937,0
35,sp_sub,1690826136,wl_big_mem,65,gm:GM-sub45-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",6736,6831,6635,2,898,6635,6734,5933,0,6736,6831,6635,2,898,6635,6734,5933,0
36,sp_sub,1690826136,wl_big_mem,66,gm:GM-sub65-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6768,6798,6751,0,476,6751,6768,6322,0,6768,6798,6751,0,476,6751,6768,6322,0
37,sp_sub,1690826136,wl_big_mem,67,gm:GM-sub65-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",6768,6798,6751,0,491,6751,6768,6307,0,6768,6798,6751,0,491,6751,6768,6307,0
38,sp_sub,1690826136,wl_big_mem,68,gm:GM-sub85-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6720,6748,6745,0,232,6745,6720,6516,0,6720,6748,6745,0,232,6745,6720,6516,0
39,sp_sub,1690826136,wl_big_mem,69,gm:GM-sub85-defpa,3,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6720,6748,6745,0,242,6745,6720,6506,0,6720,6748,6745,0,242,6745,6720,6506,0
40,sp_sub,1690826136,wl_big_mem,80,gm:GM-sub5-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6619,6821,6762,426,6821,6762,6193,0,0,6619,6821,6762,426,6821,6762,6193,0,0
41,sp_sub,1690826136,wl_big_mem,81,gm:GM-sub5-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.4,GaussianMechanism,{'Optimal': 40},6619,6821,6762,439,6821,6762,6180,0,0,6619,6821,6762,439,6821,6762,6180,0,0
42,sp_sub,1690826136,wl_big_mem,82,gm:GM-sub25-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6687,6757,6825,13,1830,6825,6674,4927,0,6687,6757,6825,13,1830,6825,6674,4927,0
43,sp_sub,1690826136,wl_big_mem,83,gm:GM-sub25-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6687,6757,6825,16,1825,6825,6671,4932,0,6687,6757,6825,16,1825,6825,6671,4932,0
44,sp_sub,1690826136,wl_big_mem,84,gm:GM-sub45-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6582,6638,6809,4,840,6809,6578,5798,0,6582,6638,6809,4,840,6809,6578,5798,0
45,sp_sub,1690826136,wl_big_mem,85,gm:GM-sub45-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.4,GaussianMechanism,{'Optimal': 40},6582,6638,6809,6,837,6809,6576,5801,0,6582,6638,6809,6,837,6809,6576,5801,0
46,sp_sub,1690826136,wl_big_mem,86,gm:GM-sub65-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6671,6650,6863,0,467,6863,6671,6183,0,6671,6650,6863,0,467,6863,6671,6183,0
47,sp_sub,1690826136,wl_big_mem,87,gm:GM-sub65-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",6671,6650,6863,0,481,6863,6671,6169,0,6671,6650,6863,0,481,6863,6671,6169,0
48,sp_sub,1690826136,wl_big_mem,88,gm:GM-sub85-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 31, 'TimeLimit': 9}",6731,6634,6664,0,237,6664,6731,6397,0,6731,6634,6664,0,237,6664,6731,6397,0
49,sp_sub,1690826136,wl_big_mem,89,gm:GM-sub85-defpa,4,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6731,6634,6664,0,246,6664,6731,6388,0,6731,6634,6664,0,246,6664,6731,6388,0
50,sp_sub,1690826136,wl_big_mem,100,ml:SGD-PATE-sub5-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3290,3341,3358,664,3341,3358,2626,0,0,3290,3341,3358,664,3341,3358,2626,0,0
51,sp_sub,1690826136,wl_big_mem,100,ml:SGD-PATE-sub5-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3341,3478,3318,82,3477,3318,3259,1,0,3341,3478,3318,82,3477,3318,3259,1,0
52,sp_sub,1690826136,wl_big_mem,101,ml:SGD-PATE-sub5-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 36, 'TimeLimit': 4}",3290,3341,3358,679,3340,3358,2611,1,0,3290,3341,3358,679,3340,3358,2611,1,0
53,sp_sub,1690826136,wl_big_mem,101,ml:SGD-PATE-sub5-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",3341,3478,3318,82,3477,3318,3259,1,0,3341,3478,3318,82,3477,3318,3259,1,0
54,sp_sub,1690826136,wl_big_mem,102,ml:SGD-PATE-sub25-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 35, 'TimeLimit': 5}",3365,3319,3284,29,1993,3284,3336,1326,0,3365,3319,3284,29,1993,3284,3336,1326,0
55,sp_sub,1690826136,wl_big_mem,102,ml:SGD-PATE-sub25-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",3363,3321,3287,0,113,3287,3363,3208,0,3363,3321,3287,0,113,3287,3363,3208,0
56,sp_sub,1690826136,wl_big_mem,103,ml:SGD-PATE-sub25-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 32, 'TimeLimit': 8}",3365,3319,3284,33,2001,3284,3332,1318,0,3365,3319,3284,33,2001,3284,3332,1318,0
57,sp_sub,1690826136,wl_big_mem,103,ml:SGD-PATE-sub25-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 32, 'TimeLimit': 8}",3363,3321,3287,0,109,3287,3363,3212,0,3363,3321,3287,0,109,3287,3363,3212,0
58,sp_sub,1690826136,wl_big_mem,104,ml:SGD-PATE-sub45-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub45,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3342,3386,3372,5,923,3372,3337,2463,0,3342,3386,3372,5,923,3372,3337,2463,0
59,sp_sub,1690826136,wl_big_mem,104,ml:SGD-PATE-sub45-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub45,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3397,3292,3330,0,96,3330,3397,3196,0,3397,3292,3330,0,96,3330,3397,3196,0
60,sp_sub,1690826136,wl_big_mem,105,ml:SGD-PATE-sub45-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub45,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3342,3386,3372,8,913,3372,3334,2473,0,3342,3386,3372,8,913,3372,3334,2473,0
61,sp_sub,1690826136,wl_big_mem,105,ml:SGD-PATE-sub45-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub45,nopa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3397,3292,3330,0,101,3330,3397,3191,0,3397,3292,3330,0,101,3330,3397,3191,0
62,sp_sub,1690826136,wl_big_mem,106,ml:SGD-PATE-sub65-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub65,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3355,3314,3316,0,523,3316,3355,2791,0,3355,3314,3316,0,523,3316,3355,2791,0
63,sp_sub,1690826136,wl_big_mem,106,ml:SGD-PATE-sub65-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub65,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3412,3470,3344,0,58,3344,3412,3412,0,3412,3470,3344,0,58,3344,3412,3412,0
64,sp_sub,1690826136,wl_big_mem,107,ml:SGD-PATE-sub65-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub65,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 36, 'TimeLimit': 4}",3355,3314,3316,0,521,3316,3355,2793,0,3355,3314,3316,0,521,3316,3355,2793,0
65,sp_sub,1690826136,wl_big_mem,107,ml:SGD-PATE-sub65-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub65,nopa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",3412,3470,3344,0,74,3344,3412,3396,0,3412,3470,3344,0,74,3344,3412,3396,0
66,sp_sub,1690826136,wl_big_mem,108,ml:SGD-PATE-sub85-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub85,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3253,3338,3382,0,281,3382,3253,3057,0,3253,3338,3382,0,281,3382,3253,3057,0
67,sp_sub,1690826136,wl_big_mem,108,ml:SGD-PATE-sub85-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub85,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3382,3431,3350,0,17,3350,3382,3414,0,3382,3431,3350,0,17,3350,3382,3414,0
68,sp_sub,1690826136,wl_big_mem,109,ml:SGD-PATE-sub85-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub85,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3253,3338,3382,0,290,3382,3253,3048,0,3253,3338,3382,0,290,3382,3253,3048,0
69,sp_sub,1690826136,wl_big_mem,109,ml:SGD-PATE-sub85-defpa,0,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub85,nopa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3382,3431,3350,0,19,3350,3382,3412,0,3382,3431,3350,0,19,3350,3382,3412,0
70,sp_sub,1690826136,wl_big_mem,120,ml:SGD-PATE-sub5-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3470,3353,3306,710,3352,3306,2760,1,0,3470,3353,3306,710,3352,3306,2760,1,0
71,sp_sub,1690826136,wl_big_mem,120,ml:SGD-PATE-sub5-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3292,3324,3387,68,3324,3387,3224,0,0,3292,3324,3387,68,3324,3387,3224,0,0
72,sp_sub,1690826136,wl_big_mem,121,ml:SGD-PATE-sub5-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 37, 'TimeLimit': 3}",3470,3353,3306,728,3353,3306,2742,0,0,3470,3353,3306,728,3353,3306,2742,0,0
73,sp_sub,1690826136,wl_big_mem,121,ml:SGD-PATE-sub5-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub5,nopa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",3292,3324,3387,68,3324,3387,3224,0,0,3292,3324,3387,68,3324,3387,3224,0,0
74,sp_sub,1690826136,wl_big_mem,122,ml:SGD-PATE-sub25-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3381,3419,3453,28,1982,3453,3353,1437,0,3381,3419,3453,28,1982,3453,3353,1437,0
75,sp_sub,1690826136,wl_big_mem,122,ml:SGD-PATE-sub25-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 38, 'TimeLimit': 2}",3369,3359,3410,0,108,3410,3369,3251,0,3369,3359,3410,0,108,3410,3369,3251,0
76,sp_sub,1690826136,wl_big_mem,123,ml:SGD-PATE-sub25-defpa,1,ilp,block-composition,upc,equal-ncd,ml:SGD-PATE,sub25,nopa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 34, 'TimeLimit': 6}",3381,3419,3453,32,1990,3453,3349,1429,0,3381,3419,3453,32,1990,3453,3349,1429,0
